What is your age group?,What is your gender?,How would you describe your typical diet?,"How often do you consume foods high in fiber (e.g., fruits, vegetables, rice)?","Do you include fermented foods in your diet? (e.g., yogurt, buttermilk, lassi, etc)","On average, how many liters of water do you consume per day?",How often do you consume alcoholic beverages?,"Do you engage in regular physical exercise? (e.g., walking, running, workout)",How would you describe your sleep patterns?,How would you rate your stress levels on a daily basis?,How often do you consume allopathic medicines?,How often do you have a bowel movement (passing stool) in a typical week?,How would you describe the consistency of your stool most of the time?,"How often do you experience digestive discomfort (e.g., bloating, gas, indigestion)?"
19 - 35 years,Female,A mix of whole foods and processed foods,Daily,Occasionally (min once a week),1 to 3,Rarely or never,Occasionally,My sleep patterns vary,High,Occasionally (Once in 2 months),Once a day,"Soft, well-formed, and easy to pass",Frequently (1-3 times a week)
19 - 35 years,Female,"Mostly whole foods (fruits, vegetables, whole grains)",2-3 times a week,Occasionally (min once a week),1 to 3,Occasionally (1-2 times a week),Occasionally,My sleep patterns vary,Moderate,Frequently (Once in a month),Once a day,"Soft, well-formed, and easy to pass",Occasionally (1-2 times a month)
19 - 35 years,Male,"Mostly whole foods (fruits, vegetables, whole grains)",Daily,"No, never",1 to 3,Rarely or never,"No, rarely or never",My sleep patterns vary,Moderate,Rarely or never,Once a day,"Soft, well-formed, and easy to pass",Rarely or never
19 - 35 years,Female,Mostly processed and fast foods,Rarely or never,"No, never",1 to 3,Rarely or never,Occasionally,My sleep patterns are set and regular,High,Rarely or never,Once a day,"Soft, well-formed, and easy to pass",Rarely or never
19 - 35 years,Male,A mix of whole foods and processed foods,2-3 times a week,Occasionally (min once a week),1 to 3,Occasionally (1-2 times a week),Occasionally,My sleep patterns vary,Moderate,Frequently (Once in a month),Once a day,"Soft, well-formed, and easy to pass",Occasionally (1-2 times a month)
19 - 35 years,Male,A mix of whole foods and processed foods,2-3 times a week,Occasionally (min once a week),4 or more,Rarely or never,"Yes, multiple times a week",My sleep patterns vary,Moderate,Rarely or never,Less than 2 times a week,"Soft, well-formed, and easy to pass",Rarely or never
19 - 35 years,Male,A mix of whole foods and processed foods,Daily,"Yes, regularly",4 or more,Rarely or never,"Yes, multiple times a week",My sleep patterns vary,Moderate,Rarely or never,Less than 2 times a week,"Soft, well-formed, and easy to pass",Rarely or never
19 - 35 years,Female,A mix of whole foods and processed foods,Daily,"Yes, regularly",1 to 3,Rarely or never,"Yes, multiple times a week",My sleep patterns vary,Moderate,Rarely or never,Once a day,"Soft, well-formed, and easy to pass",Rarely or never
19 - 35 years,Male,A mix of whole foods and processed foods,Daily,"Yes, regularly",4 or more,Rarely or never,Occasionally,My sleep patterns vary,Moderate,Rarely or never,3-4 times a week,"Hard, pellet-like, or difficult to pass",Frequently (1-3 times a week)
19 - 35 years,Male,A mix of whole foods and processed foods,2-3 times a week,Occasionally (min once a week),1 or less,Rarely or never,"Yes, multiple times a week",My sleep patterns vary,Moderate,Occasionally (Once in 2 months),Once a day,"Hard, pellet-like, or difficult to pass",Occasionally (1-2 times a month)
19 - 35 years,Male,A mix of whole foods and processed foods,2-3 times a week,"Yes, regularly",1 to 3,Occasionally (1-2 times a week),"Yes, multiple times a week",My sleep patterns vary,Moderate,Occasionally (Once in 2 months),Once a day,"Soft, well-formed, and easy to pass",Occasionally (1-2 times a month)
6 - 18 years,Female,A mix of whole foods and processed foods,Daily,Occasionally (min once a week),1 to 3,Rarely or never,Occasionally,My sleep patterns vary,Moderate,Occasionally (Once in 2 months),3-4 times a week,"Soft, well-formed, and easy to pass",Occasionally (1-2 times a month)
19 - 35 years,Female,A mix of whole foods and processed foods,Daily,Occasionally (min once a week),1 to 3,Rarely or never,Occasionally,My sleep patterns are set and regular,Moderate,Rarely or never,Once a day,"Soft, well-formed, and easy to pass",Occasionally (1-2 times a month)
19 - 35 years,Male,A mix of whole foods and processed foods,2-3 times a week,"Yes, regularly",1 to 3,Rarely or never,"Yes, multiple times a week",My sleep patterns vary,Moderate,Rarely or never,Once a day,"Soft, well-formed, and easy to pass",Occasionally (1-2 times a month)
19 - 35 years,Male,A mix of whole foods and processed foods,Daily,"Yes, regularly",1 to 3,Rarely or never,"Yes, multiple times a week",My sleep patterns are set and regular,Low,Rarely or never,Less than 2 times a week,"Soft, well-formed, and easy to pass",Occasionally (1-2 times a month)
19 - 35 years,Male,"Mostly whole foods (fruits, vegetables, whole grains)",Daily,Occasionally (min once a week),4 or more,Rarely or never,"Yes, multiple times a week",My sleep patterns vary,Low,Rarely or never,3-4 times a week,"Soft, well-formed, and easy to pass",Rarely or never
19 - 35 years,Male,A mix of whole foods and processed foods,Daily,"Yes, regularly",1 to 3,Rarely or never,"No, rarely or never",My sleep patterns are set and regular,Moderate,Rarely or never,Once a day,"Soft, well-formed, and easy to pass",Frequently (1-3 times a week)
19 - 35 years,Male,A mix of whole foods and processed foods,2-3 times a week,Occasionally (min once a week),1 to 3,Rarely or never,"No, rarely or never",My sleep patterns are set and regular,Moderate,Occasionally (Once in 2 months),Less than 2 times a week,"Soft, well-formed, and easy to pass",Occasionally (1-2 times a month)
19 - 35 years,Male,A mix of whole foods and processed foods,Daily,Occasionally (min once a week),1 to 3,Rarely or never,"Yes, multiple times a week",My sleep patterns vary,Moderate,Rarely or never,Once a day,"Soft, well-formed, and easy to pass",Rarely or never
19 - 35 years,Male,A mix of whole foods and processed foods,Daily,"Yes, regularly",1 to 3,Rarely or never,"Yes, multiple times a week",My sleep patterns vary,Moderate,Rarely or never,3-4 times a week,"Soft, well-formed, and easy to pass",Occasionally (1-2 times a month)
19 - 35 years,Male,A mix of whole foods and processed foods,2-3 times a week,"Yes, regularly",1 to 3,Rarely or never,"Yes, multiple times a week",My sleep patterns vary,Moderate,Rarely or never,Once a day,"Soft, well-formed, and easy to pass",Rarely or never
19 - 35 years,Male,A mix of whole foods and processed foods,2-3 times a week,Occasionally (min once a week),1 to 3,Rarely or never,Occasionally,My sleep patterns vary,Low,Rarely or never,Less than 2 times a week,"Hard, pellet-like, or difficult to pass",Rarely or never
19 - 35 years,Male,A mix of whole foods and processed foods,Daily,Occasionally (min once a week),1 to 3,Rarely or never,Occasionally,My sleep patterns vary,Moderate,Rarely or never,Once a day,"Soft, well-formed, and easy to pass",Rarely or never
19 - 35 years,Male,Mostly processed and fast foods,Rarely or never,Occasionally (min once a week),1 to 3,Regularly (3 or more times a week),"No, rarely or never",My sleep patterns vary,Low,Frequently (Once in a month),Less than 2 times a week,"Hard, pellet-like, or difficult to pass",Rarely or never
19 - 35 years,Male,"Mostly whole foods (fruits, vegetables, whole grains)",Daily,"Yes, regularly",1 to 3,Rarely or never,"Yes, multiple times a week",My sleep patterns vary,Moderate,Rarely or never,Less than 2 times a week,"Soft, well-formed, and easy to pass",Rarely or never
19 - 35 years,Male,A mix of whole foods and processed foods,2-3 times a week,Occasionally (min once a week),1 to 3,Rarely or never,"No, rarely or never",My sleep patterns are set and regular,Low,Rarely or never,Once a day,"Soft, well-formed, and easy to pass",Occasionally (1-2 times a month)
19 - 35 years,Male,"Mostly whole foods (fruits, vegetables, whole grains)",Daily,Occasionally (min once a week),1 to 3,Rarely or never,"No, rarely or never",My sleep patterns vary,Low,Rarely or never,Once a day,"Soft, well-formed, and easy to pass",Rarely or never
19 - 35 years,Male,Mostly processed and fast foods,2-3 times a week,Occasionally (min once a week),1 to 3,Rarely or never,Occasionally,My sleep patterns vary,Moderate,Occasionally (Once in 2 months),Once a day,"Soft, well-formed, and easy to pass",Occasionally (1-2 times a month)
19 - 35 years,Male,A mix of whole foods and processed foods,2-3 times a week,Occasionally (min once a week),1 to 3,Rarely or never,Occasionally,My sleep patterns are set and regular,Moderate,Frequently (Once in a month),Once a day,"Soft, well-formed, and easy to pass",Rarely or never
19 - 35 years,Male,A mix of whole foods and processed foods,Daily,"Yes, regularly",1 to 3,Rarely or never,"Yes, multiple times a week",My sleep patterns vary,Moderate,Rarely or never,Once a day,"Soft, well-formed, and easy to pass",Occasionally (1-2 times a month)
19 - 35 years,Female,A mix of whole foods and processed foods,Daily,"Yes, regularly",1 to 3,Rarely or never,Occasionally,My sleep patterns vary,Moderate,Rarely or never,Once a day,"Hard, pellet-like, or difficult to pass",Occasionally (1-2 times a month)
19 - 35 years,Female,A mix of whole foods and processed foods,2-3 times a week,"Yes, regularly",1 to 3,Rarely or never,Occasionally,My sleep patterns vary,Moderate,Rarely or never,Once a day,"Soft, well-formed, and easy to pass",Rarely or never
19 - 35 years,Female,A mix of whole foods and processed foods,Daily,Occasionally (min once a week),1 to 3,Rarely or never,Occasionally,My sleep patterns vary,Moderate,Rarely or never,Once a day,"Soft, well-formed, and easy to pass",Rarely or never
19 - 35 years,Female,A mix of whole foods and processed foods,Daily,Occasionally (min once a week),1 or less,Rarely or never,Occasionally,My sleep patterns vary,Moderate,Rarely or never,Once a day,"Soft, well-formed, and easy to pass",Occasionally (1-2 times a month)
19 - 35 years,Female,"Mostly whole foods (fruits, vegetables, whole grains)",Daily,"Yes, regularly",1 to 3,Rarely or never,Occasionally,My sleep patterns are set and regular,Moderate,Occasionally (Once in 2 months),Once a day,"Soft, well-formed, and easy to pass",Occasionally (1-2 times a month)
19 - 35 years,Female,"Mostly whole foods (fruits, vegetables, whole grains)",Daily,"Yes, regularly",1 to 3,Rarely or never,Occasionally,My sleep patterns are set and regular,Moderate,Frequently (Once in a month),Once a day,"Soft, well-formed, and easy to pass",Occasionally (1-2 times a month)
19 - 35 years,Male,A mix of whole foods and processed foods,2-3 times a week,"No, never",1 or less,Rarely or never,"Yes, multiple times a week",My sleep patterns vary,Moderate,Rarely or never,Once a day,"Soft, well-formed, and easy to pass",Occasionally (1-2 times a month)
19 - 35 years,Female,A mix of whole foods and processed foods,2-3 times a week,"Yes, regularly",1 to 3,Rarely or never,Occasionally,My sleep patterns vary,Moderate,Rarely or never,Once a day,"Soft, well-formed, and easy to pass",Rarely or never
19 - 35 years,Male,A mix of whole foods and processed foods,Daily,"Yes, regularly",4 or more,Occasionally (1-2 times a week),Occasionally,My sleep patterns are set and regular,Moderate,Rarely or never,Less than 2 times a week,"Soft, well-formed, and easy to pass",Rarely or never
19 - 35 years,Male,A mix of whole foods and processed foods,Daily,"Yes, regularly",4 or more,Rarely or never,"Yes, multiple times a week",My sleep patterns are set and regular,Moderate,Occasionally (Once in 2 months),3-4 times a week,"Hard, pellet-like, or difficult to pass",Frequently (1-3 times a week)
19 - 35 years,Female,"Mostly whole foods (fruits, vegetables, whole grains)",Daily,Occasionally (min once a week),1 to 3,Rarely or never,"No, rarely or never",My sleep patterns vary,Moderate,Occasionally (Once in 2 months),Once a day,"Soft, well-formed, and easy to pass",Rarely or never
19 - 35 years,Male,A mix of whole foods and processed foods,Daily,"No, never",1 to 3,Rarely or never,Occasionally,My sleep patterns vary,Moderate,Rarely or never,Once a day,"Soft, well-formed, and easy to pass",Occasionally (1-2 times a month)
19 - 35 years,Male,Mostly processed and fast foods,2-3 times a week,"Yes, regularly",1 to 3,Rarely or never,Occasionally,My sleep patterns vary,Moderate,Occasionally (Once in 2 months),3-4 times a week,"Soft, well-formed, and easy to pass",Frequently (1-3 times a week)
19 - 35 years,Female,A mix of whole foods and processed foods,Daily,Occasionally (min once a week),1 or less,Rarely or never,Occasionally,My sleep patterns vary,Moderate,Rarely or never,Once a day,"Soft, well-formed, and easy to pass",Occasionally (1-2 times a month)
19 - 35 years,Female,A mix of whole foods and processed foods,Daily,"Yes, regularly",1 or less,Rarely or never,"No, rarely or never",My sleep patterns vary,Moderate,Rarely or never,Less than 2 times a week,"Soft, well-formed, and easy to pass",Frequently (1-3 times a week)
19 - 35 years,Female,A mix of whole foods and processed foods,Daily,"Yes, regularly",1 to 3,Rarely or never,Occasionally,My sleep patterns vary,Moderate,Occasionally (Once in 2 months),Once a day,"Soft, well-formed, and easy to pass",Occasionally (1-2 times a month)
19 - 35 years,Male,A mix of whole foods and processed foods,2-3 times a week,"Yes, regularly",1 to 3,Occasionally (1-2 times a week),"Yes, multiple times a week",My sleep patterns vary,Moderate,Occasionally (Once in 2 months),3-4 times a week,"Loose or watery, lacking form",Occasionally (1-2 times a month)
19 - 35 years,Male,"Mostly whole foods (fruits, vegetables, whole grains)",Daily,Occasionally (min once a week),1 to 3,Occasionally (1-2 times a week),"Yes, multiple times a week",My sleep patterns vary,High,Occasionally (Once in 2 months),Once a day,"Soft, well-formed, and easy to pass",Frequently (1-3 times a week)
19 - 35 years,Female,A mix of whole foods and processed foods,Daily,"No, never",1 to 3,Occasionally (1-2 times a week),Occasionally,My sleep patterns vary,Moderate,Rarely or never,Once a day,"Soft, well-formed, and easy to pass",Rarely or never
19 - 35 years,Male,A mix of whole foods and processed foods,Daily,"Yes, regularly",4 or more,Rarely or never,"Yes, multiple times a week",My sleep patterns are set and regular,Low,Rarely or never,Once a day,"Soft, well-formed, and easy to pass",Rarely or never
19 - 35 years,Female,A mix of whole foods and processed foods,2-3 times a week,Occasionally (min once a week),1 to 3,Rarely or never,"No, rarely or never",My sleep patterns are set and regular,Moderate,Rarely or never,Once a day,"Soft, well-formed, and easy to pass",Rarely or never
19 - 35 years,Female,Mostly processed and fast foods,2-3 times a week,"Yes, regularly",1 to 3,Rarely or never,"No, rarely or never",My sleep patterns vary,Moderate,Rarely or never,Once a day,"Soft, well-formed, and easy to pass",Occasionally (1-2 times a month)
19 - 35 years,Female,A mix of whole foods and processed foods,2-3 times a week,"Yes, regularly",4 or more,Rarely or never,Occasionally,My sleep patterns are set and regular,Moderate,Rarely or never,Once a day,"Soft, well-formed, and easy to pass",Rarely or never
19 - 35 years,Male,"Mostly whole foods (fruits, vegetables, whole grains)",2-3 times a week,"Yes, regularly",1 to 3,Rarely or never,Occasionally,My sleep patterns are set and regular,Moderate,Rarely or never,Once a day,"Soft, well-formed, and easy to pass",Rarely or never
19 - 35 years,Female,"Mostly whole foods (fruits, vegetables, whole grains)",Daily,"Yes, regularly",4 or more,Rarely or never,"Yes, multiple times a week",My sleep patterns are set and regular,Low,Rarely or never,Once a day,"Soft, well-formed, and easy to pass",Rarely or never
19 - 35 years,Male,"Mostly whole foods (fruits, vegetables, whole grains)",Daily,"Yes, regularly",1 to 3,Rarely or never,"Yes, multiple times a week",My sleep patterns are set and regular,Moderate,Rarely or never,Once a day,"Soft, well-formed, and easy to pass",Rarely or never
19 - 35 years,Female,"Mostly whole foods (fruits, vegetables, whole grains)",2-3 times a week,"Yes, regularly",1 to 3,Rarely or never,Occasionally,My sleep patterns are set and regular,Moderate,Rarely or never,Once a day,"Soft, well-formed, and easy to pass",Frequently (1-3 times a week)
